Month,Province,Code_Site,Site_Name,District,OverallScore,Number_ofCell,Total_Sub,Total_Volume_Mb, Total_Revenue ,Rev_Priority,Revenue_Loss,LTC_Sub,LTC_Volume_Mb,LTC_Revenue,TPlus_Sub,TPlus_Volume_Mb,TPlus_Revenue,Total_Down_hour,Total_CountDown,Day_Down_hour,Day_CountDown,Night_Down_hour,Night_CountDown,AC_Power_hour,AC_Power_CountDown,OPTIC_hour,OPTIC_CountDown,EQUIPMENT_hour,EQUIPMENT_CountDown,RECTIFIER_hour,RECTIFIER_CountDown,Other_hour,Other_CountDown,MC_to_BTS,Distance_KM,Access_Time_Minute,LodAC,LodDC,Capacity_Battery_V,Cpcity_Bttery_Ah,Capacity_Solar_V,Cpcity_Solr_Ah,Capacity_Gen_KVA,Backup_time_Minute,Battery,Lat,Long
2023-03-31,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,122,87701,102502950,212251845.6,Priority1,0,83323,98960967,206358681,4378,3541983,5893164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-01-31,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,65735,94498333.52,197532467.2,Priority1,6398565,61081,88735468,189068945,4654,5762865,8463522,4,1,0,0,4,1,4,1,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-04-30,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,91704,91832615.4,188468149.7,Priority1,15313037,87817,89300771,184293233,3887,2531844,4174916,9.6,4,5.6,2,4,2,6.9,3,0,0,2.7,1,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-02-28,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,70249,88127727.6,186946253.8,Priority1,1001498,65806,83349739,179319643,4443,4777989,7626611,0.6,1,0.6,1,0,0,0.6,1,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-03-31,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,12,122104,80412752.81,186152230.4,Priority1,525430,103736,61463019,166318822,18368,18949734,19833408,1.8,2,1.8,2,0,0,1.8,2,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-08-31,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,56177,84263964.7,184960869.4,Priority1,6563128,52511,80515467,178904871,3666,3748498,6055999,4.3,1,4.3,1,0,0,0,0,0,0,4.3,1,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2022-12-31,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,61179,85437231.85,183531106.1,Priority1,15047577,57070,81789176,177226832,4109,3648056,6304274,10,1,0,0,10,1,10,1,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-01-31,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,96,105178,80299292.37,183355088,Priority1,0,88430,60822023,161322306,16748,19477270,22032782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-07-31,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,60714,81294735.79,179579725.7,Priority1,0,57069,77707215,173691062,3645,3587521,5888664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2022-04-30,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,48007,68656432.02,178004169,Priority1,0,45396,65726813,173603337,2611,2929619,4400832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2022-09-30,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,122,53910,81052957,176392108.8,Priority1,0,50298,77176527,170597303,3612,3876430,5794806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2022-11-30,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,59381,80474567.64,176065858.1,Priority1,5281976,55372,76774156,169387937,4009,3700412,6677921,3.5,1,3.5,1,0,0,3.5,1,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-01-31,VTE,VTE0353,VTE0353_NASIEW3,Naxaythong,6,52,40629,97321860.89," 173,599,601 ",Priority1,9823311,30511,61630237,132928443,10118,35691624,40671158,8.1,5,8.1,5,0,0,5.8,4,0,0,2.3,1,0,0,0,0,LTC to Site,15,31,15,52,48,100,0,0,0,180,Battery,18.039828,102.585864
2022-10-31,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,57361,79522265.89,172928593.8,Priority1,0,53549,75581758,166780523,3812,3940508,6148071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2022-05-31,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,56487,68934064.61,162624616.2,Priority1,0,53111,65781005,157297244,3376,3153059,5327373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-02-28,VTE,VTE0593,VTE0593_KM9_SOMVANG,Hatxayfong,5,48,100286,69608635.9,160687322.5,Priority1,0,84575,53120588,143315991,15711,16488048,17371332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,8,30,20,80,48,400,0,0,0,180,Battery,17.89678,102.63772
2022-06-30,BOK,BOK0077,BOK0077_MYANMAR_VILLAGE,Tonpheung,5,61,60595,69860734.64,155748703.5,Priority1,1622382,56817,66273558,149915173,3778,3587177,5833531,1.2,1,1.2,1,0,0,1.2,1,0,0,0,0,0,0,0,0,MC Tonpheung,10,20,29.30232558,126,48,400,0,0,0,190,Battery,20.34444,100.10063
2023-03-31,VTE,VTE0353,VTE0353_NASIEW3,Naxaythong,6,52,41971,87885280.77," 154,831,516 ",Priority1,1935394,31999,56213765,121042517,9972,31671516,33788999,1.8,3,0.4,1,1.4,2,0.9,2,0,0,0,0,0,0,0.9,1,LTC to Site,15,31,15,52,48,100,0,0,0,180,Battery,18.039828,102.585864
2022-05-31,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,36,54364,103772225.7,154578062.7,Priority1,0,36938,24359414,73410538,17426,79412812,81167525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
2022-04-30,BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,36,60297,104733785,153474395.4,Priority1,0,40214,25685420,72905228,20083,79048365,80569167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC to Site,80,120,14,60.2,0,0,0,0,25 ,0,Generator,18.16844,104.23902
