Month,Province,Code_Site,Site_name,District,Issue,Part,Number_ofCell,Downtime_hour,Count_Down
2022-04-30,ATP,ATP0002,ATP0002_MAIPHOSY,Samakkhixai,AC POWER,Day,10,2.5,2
2022-04-30,ATP,ATP0003,ATP0003_NAXAITHONG,Samakkhixai,AC POWER,Night,15,4.866666667,1
2022-04-30,ATP,ATP0008,ATP0008_TV_TOWER,Samakkhixai,AC POWER,Day,4,0.75,1
2022-04-30,ATP,ATP0010,ATP0010_XEKATAMTOK,Xaisettha,AC POWER,Day,4,49.5,5
2022-04-30,ATP,ATP0010,ATP0010_XEKATAMTOK,Xaisettha,AC POWER,Night,4,0.5,1
2022-04-30,ATP,ATP0012,ATP0012_XONPHAO_HIGHSCHOOL,Samakkhixai,AC POWER,Day,3,0.666666667,1
2022-04-30,ATP,ATP0013,ATP0013_BOUNGXAY,Samakkhixai,OTHER,Day,12,1.333333333,1
2022-04-30,ATP,ATP0017,ATP0017_BENGPHOUKHAM,Xaisettha,AC POWER,Day,3,1.333333333,1
2022-04-30,ATP,ATP0018,ATP0018_KEANGXAI,Xaisettha,OPTIC,Day,3,6,1
2022-04-30,ATP,ATP0021,ATP0021_KM3,Samakkhixai,AC POWER,Day,3,0.333333333,1
2022-04-30,ATP,ATP0024,ATP0024_HOUAYHOR,Xaisettha,AC POWER,Day,17,0.294117647,1
2022-04-30,ATP,ATP0024,ATP0024_HOUAYHOR,Xaisettha,AC POWER,Night,17,0.117647059,0
2022-04-30,ATP,ATP0025,ATP0025_KASOM,Xaisettha,OTHER,Day,3,1.666666667,1
2022-04-30,ATP,ATP0025,ATP0025_KASOM,Xaisettha,AC POWER,Day,3,2.666666667,1
2022-04-30,ATP,ATP0025,ATP0025_KASOM,Xaisettha,AC POWER,Night,3,5.333333333,1
2022-04-30,ATP,ATP0027,ATP0027_AIRPORT,Xaisettha,OPTIC,Day,4,1,1
2022-04-30,ATP,ATP0027,ATP0027_AIRPORT,Xaisettha,OTHER,Night,4,1,1
2022-04-30,ATP,ATP0027,ATP0027_AIRPORT,Xaisettha,AC POWER,Day,4,1.5,3
2022-04-30,ATP,ATP0028,ATP0028_HADXAYKHAOTAI,Xaisettha,AC POWER,Day,3,0.333333333,1
2022-04-30,ATP,ATP0029,ATP0029_HARDXAN,Xaisettha,OPTIC,Day,17,0.705882353,1
2022-04-30,ATP,ATP0029,ATP0029_HARDXAN,Xaisettha,AC POWER,Day,17,1.117647059,2
2022-04-30,ATP,ATP0030,ATP0030_HARDXAIKHAO,Xaisettha,OPTIC,Day,11,1.090909091,1
2022-04-30,ATP,ATP0030,ATP0030_HARDXAIKHAO,Xaisettha,AC POWER,Day,11,0.181818182,1
2022-04-30,ATP,ATP0032,ATP0032_KM52,Xaisettha,OPTIC,Day,6,0.166666667,1
2022-04-30,ATP,ATP0032,ATP0032_KM52,Xaisettha,AC POWER,Day,6,0.333333333,1
2022-04-30,ATP,ATP0033,ATP0033_M_XAISETTHA,Xaisettha,AC POWER,Day,12,0.5,1
2022-04-30,ATP,ATP0034,ATP0034_NONGOU,Xaisettha,AC POWER,Day,12,0.666666667,2
2022-04-30,ATP,ATP0035,ATP0035_SAKAE,Samakkhixai,OPTIC,Day,10,6.3,1
2022-04-30,ATP,ATP0035,ATP0035_SAKAE,Samakkhixai,AC POWER,Day,10,1,1
2022-04-30,ATP,ATP0038,ATP0038_KHANMAKNAO,Sanamxai,AC POWER,Day,8,2,3
2022-04-30,ATP,ATP0039,ATP0039_NATHONGCHAN,Samakkhixai,AC POWER,Day,2,0.5,1
2022-04-30,ATP,ATP0040,ATP0040_MAIHINLAD,Sanamxai,AC POWER,Day,18,2,3
2022-04-30,ATP,ATP0041,ATP0041_KASAE,Sanamxai,EQUIPMENT,Day,6,12.33333333,1
2022-04-30,ATP,ATP0042,ATP0042_SOMPOY,Sanamxai,AC POWER,Day,9,2.777777778,2
2022-04-30,ATP,ATP0043,ATP0043_CAMBODIA_BORDER,Sanamxai,OPTIC,Night,9,1.333333333,0
2022-04-30,ATP,ATP0043,ATP0043_CAMBODIA_BORDER,Sanamxai,AC POWER,Day,9,2.111111111,2
2022-04-30,ATP,ATP0045,ATP0045_NAKHANG,Samakkhixai,AC POWER,Day,6,0.333333333,1
2022-04-30,ATP,ATP0048,ATP0048_TARTXEPHA,Sanamxai,AC POWER,Day,6,6.833333333,6
2022-04-30,ATP,ATP0049,ATP0049_BANMOUNG,Samakkhixai,AC POWER,Day,9,2.777777778,3
2022-04-30,ATP,ATP0050,ATP0050_BANVANGTAD,Sanxai,OPTIC,Day,3,13,4
2022-04-30,ATP,ATP0050,ATP0050_BANVANGTAD,Sanxai,OPTIC,Night,3,5.666666667,1
2022-04-30,ATP,ATP0050,ATP0050_BANVANGTAD,Sanxai,AC POWER,Day,3,44,5
2022-04-30,ATP,ATP0050,ATP0050_BANVANGTAD,Sanxai,AC POWER,Night,3,1,1
2022-04-30,ATP,ATP0050,ATP0050_BANVANGTAD,Sanxai,RECTIFIER,Night,3,4.666666667,1
