Prov,Code_Site,Site_name,District,OverallScore,Sub,Revenue,Revenue_Loss,Day_Down_hour,Night_Down_hour,AC_Power_Downtime_hour,Distance_KM,Access_Time_Minute,Backup_time_Minute,Lat,Long
ATP,ATP0040,ATP0040_MAIHINLAD,Sanamxai,5,4351,332460788.2,4263777.86,48.1,13.4,60.6,36,135,20,14.70412,106.497624
ATP,ATP0052,ATP0052_CHALERNXAY,Sanxai,5,647,112099747,4638370.405,122.6,208.5,273.6,87,120,25,15.16606,107.078664
ATP,ATP0055,ATP0055_KM100,Sanamxai,5,1525,217313822.7,10104052.21,190.6,146.6,77,100,120,40,14.7399,107.482
ATP,ATP0056,ATP0056_BORKHAMVANGTAD,Sanxai,5,6584,199314283.8,10145635.77,178,214.9,157.3,19,70,20,14.7399,107.482
ATP,ATP0069,ATP0069_NAMKONG_DAM1,Phouvong,6,2504,438782828.2,18912299.77,141.6,110.3,185.5,61,120,37,14.571393,106.740074
ATP,ATP0082,ATP0082_BORKHAMNAMSOUAN,Phouvong,5,2089,153007354.6,5224481.091,124.8,205,232.3,84,180,25,14.674324,107.33304
BLK,BLK0006,BLK0006_BOUAVENGKHAM,Pakxan,5,8809,575025121.5,7414152.065,44.2,58.2,93,18,60,20,18.435622,103.768888
BLK,BLK0012,BLK0012_HOUAYXAY,Pakxan,5,12147,574031169,5892399.099,40.8,34.8,75.6,30,60,10,18.3557,103.872
BLK,BLK0014,BLK0014_KHAMBONE,Pakxan,5,26300,716796614,19952912.23,82.7,74.5,133.2,25,60,60,18.494829,103.834672
BLK,BLK0018,BLK0018_NAHOI,Pakxan,5,39524,403753181.7,5192668.815,35.9,72.1,103.7,14,40,10,18.3648,103.757
BLK,BLK0019,BLK0019_NAMOUANG,Pakxan,5,6290,333812533.2,5608181.354,68.1,71,135.9,33,75,10,18.378512,103.879664
BLK,BLK0021,BLK0021_NONGBUA,Pakxan,5,16598,593578119.7,7120515.687,32.8,42,66.4,18,60,10,18.4465,103.784
BLK,BLK0029,BLK0029_PAXOUM,Pakxan,5,14425,431742073.3,6268870.574,49.3,50.5,99.5,10,35,60,18.4361,103.714
BLK,BLK0077,BLK0077_NONGPONG,Khamkeut,5,21159,573343303.6,11143216.02,37.4,64.1,94,2,30,10,18.1881,104.9672
BLK,BLK0086,BLK0086_PHONVILAI,Khamkeut,5,11883,944955046,6683279.95,26.7,12.9,33.5,25,60,10,18.07867,105.04306
BLK,BLK0093,BLK0093_THONGKHAE,khamkeut,5,11421,588828993.2,5946437.37,40.4,50.4,64.9,30,60,10,18.1509,105.114
BLK,BLK0100,BLK0100_HOUAYPHET,Pakkading,5,21969,304938483.7,5857531.321,106.1,26.2,87.6,106,150,10,18.109163,104.33727
BLK,BLK0101,BLK0101_KEANGLUANG,Pakkading,5,7172,242276421.1,4627735.625,96.5,82,87.2,100,150,10,18.12759,104.18673
BLK,BLK0104,BLK0104_LAOKHA,Pakkading,5,37363,337858637,4770373.316,47.7,61.9,99.7,50,90,10,18.301088,104.044726
BLK,BLK0106,BLK0106_NAMAY,Pakkading,5,5897,244410066,4833000.554,53.8,117.2,146.6,56,90,30,18.426387,103.8944
BLK,BLK0107,BLK0107_NAMDAUE,Pakkading,5,60981,732226344.9,14287660.58,51.3,36.4,74.1,64,100,20,18.234,104.188
BLK,BLK0109,BLK0109_NAMTHERN,Pakkading,6,14265,564921134.1,18729955.07,48.2,65.4,91.3,72,120,10,18.32762,104.142165
BLK,BLK0116,BLK0116_PAKKADINGMAI,Pakkading,6,63887,1278747444,25912875.61,32.8,37.7,53.3,62,100,30,18.301109,104.10046
BLK,BLK0127,BLK0127_THONGNAMEE,Pakkading,5,60297,1654913016,16356333.13,35,9.6,12.7,80,120,0,18.16844,104.23902
BLK,BLK0131,BLK0131_CHOMTHONG,Viengthong,6,13201,717760772.5,21476732.18,69.5,95.6,109.1,25,60,30,18.7055,104.262
BLK,BLK0132,BLK0132_HINNGON,Viengthong,5,14135,485073138.9,7646508.538,53.2,30.4,73,15,60,10,18.4059,104.484
BLK,BLK0135,BLK0135_M_XAICHAMPHONE,Xaichamphone,5,2098,307478085.6,5231534.242,150.2,177.8,56.6,188,270,10,18.577975,104.985867
BLK,BLK0136,BLK0136_MEUANGMEUAN,Viengthong,6,9101,464882990.8,19976375.35,118.2,79.6,183.2,35,75,10,18.702728,104.214672
BLK,BLK0137,BLK0137_MIXAI,Viengthong,6,6095,672328912.2,19686072.15,129.4,58.5,170,25,60,10,18.601234,104.44345
BLK,BLK0139,BLK0139_NAMKANG,Viengthong,5,14537,523904387,5243749.431,44.9,21,55.7,20,60,20,18.444084,104.493742
BLK,BLK0141,BLK0141_NAPHERN,Viengthong,6,2577,469495646.3,22450965.51,90.1,238.3,266.5,68,180,10,18.903801,104.224651
BLK,BLK0142,BLK0142_NONGPARD,Viengthong,5,5829,293809719.4,5095438.849,154.3,89.2,224.9,15,60,10,18.444429,104.522186
BLK,BLK0143,BLK0143_OUDOMXAI,Viengthong,5,2664,273796543.3,6205970.077,118.3,65.2,166.7,28,60,60,18.4165,104.544
BLK,BLK0145,BLK0145_PHONDOU,Viengthong,5,14698,487898690.5,4141765.829,58.8,29.2,83.1,10,35,40,18.572159,104.388019
BLK,BLK0147,BLK0147_THONGMEXAY,Viengthong,5,1449,198647793.1,8895820.902,691.6,617.3,1163.2,88,240,10,18.992086,104.271947
BLK,BLK0148,BLK0148_VANGHIN,Viengthong,5,8331,223825644,4157311.208,61.3,56,107.6,4,30,10,18.5306,104.469
BLK,BLK0148,BLK0148_VANGHIN_GU,Viengthong,5,8185,28700062.58,0,0,0,0,4,30,10,18.5306,104.469
BLK,BLK0149,BLK0149_XIENGLEU,Borikhan,6,9402,927123722.9,51617025.14,82.3,88.8,166.3,124,180,60,18.7063,104.011
BLK,BLK0150,BLK0150_MOUANGJAM,Xaichamphone,5,3647,577259001.2,43742910.27,139.2,189.3,25.9,162,240,30,18.6094,104.832
BLK,BLK0151,BLK0151_NAM_ON,Xaichamphone,5,3009,244689547.9,9884965.657,152.6,202.6,58.2,185,270,30,18.5807,104.993
BLK,BLK0152,BLK0152_PHONKHAM,Xaichamphone,6,1429,346441534.1,29702336.91,258.6,285.2,238.7,195,300,10,18.587429,105.016366
BLK,BLK0154,BLK0154_BANBOR,Borikhan,5,5693,414936966.4,6225627.907,90.7,75.9,160.9,75,120,10,18.74903,103.59415
BLK,BLK0155,BLK0155_BOLIKHAN,Borikhan,6,52828,1120755055,45914134.76,94.5,122,171.9,28,60,30,18.5719,103.736
BLK,BLK0156,BLK0156_BORKAO,Borikhan,5,3995,305042370.8,10206129.2,116.9,128.3,220.8,86,150,10,18.76965,103.55717
BLK,BLK0158,BLK0158_HADYEUN,Borikhan,5,3482,346530384.3,7752209.1,124.5,58.4,138.7,50,90,10,18.6585,103.577
BLK,BLK0159,BLK0159_HARDXIENGTOM,Borikhan,5,16942,418350232.1,5469975.204,63.5,28.2,79.1,25,60,20,18.557058,103.727146
BLK,BLK0160,BLK0160_HOUAYKHOUN,Borikhan,5,31295,766845768.5,11106321.71,54.1,13.9,67.6,18,60,10,18.49027,103.6555
BLK,BLK0163,BLK0163_KOKPHO,Borikhan,5,8673,278580357.5,7012816.685,109.4,146.8,245.2,96,180,10,18.7714,103.882
BLK,BLK0165,BLK0165_NAHAN,Borikhan,5,21983,466187731,5856914.508,73.7,29.4,92.8,25,60,30,18.561162,103.722361
BLK,BLK0166,BLK0166_NAKOUN,Pakxan,5,5655,230652441.9,7313857.93,139,197.9,288.4,100,150,10,18.395652,103.659991
BLK,BLK0168,BLK0168_NA_O,Borikhan,5,8897,378833931.3,7517478.735,109.3,52.1,151.6,50,90,60,18.521882,103.753413
BLK,BLK0170,BLK0170_PHADAI,Borikhan,5,3283,273774624.7,7028676.773,172.8,183,330.3,75,120,10,18.821808,103.67371
BLK,BLK0172,BLK0172_PHAMEUNG,Borikhan,6,27687,1263568240,26246151.99,74.4,60.4,131.4,53,90,10,18.743252,103.684613
BLK,BLK0174,BLK0174_THASI,Borikhan,5,37577,527786480.6,6494134.93,46.1,37.2,70.6,82,150,10,18.8449,103.813
BLK,BLK0175,BLK0175_THONGKHANKHAM,Borikhan,5,4002,196752951.2,4269373.713,110.4,151.1,237.4,50,90,240,18.523222,103.89046
BLK,BLK0177,BLK0177_XOMSUEN,Borikhan,5,37261,582461488.4,6061236.127,40,6.5,37.8,20,60,30,18.5012,103.6707
BLK,BLK0181,BLK0181_HOUAYSAYPHAY,Thaphabat,5,38621,563858537.8,8175604.31,75.4,28,91.7,80,120,0,18.2202,103.14
